location,measure,rawValue,year,fips
Roseau,Child,1854,2019,27135
Roseau,Child,1925,2018,27135
Roseau,Child,2158,2017,27135
Roseau,Child,2479,2016,27135
Roseau,Child,2465,2015,27135
Roseau,Child,3169,2014,27135
Roseau,Child,2282,2013,27135
Roseau,Child,2053,2012,27135
Roseau,Child,2183,2011,27135
Roseau,Adult,1563,2022,27135
Roseau,Adult,1403,2021,27135
Roseau,Adult,2297,2020,27135
Roseau,Adult,2600,2019,27135
Roseau,Adult,2515,2018,27135
Roseau,Adult,2449,2017,27135
Roseau,Adult,2800,2016,27135
Roseau,Adult,3008,2015,27135
Roseau,Adult,4866,2014,27135
Roseau,Adult,3199,2013,27135
Roseau,Adult,2964,2012,27135
Roseau,Adult,3000,2011,27135
Roseau,Senior,328,2022,27135
Roseau,Senior,225,2021,27135
Roseau,Senior,433,2020,27135
Roseau,Senior,421,2019,27135
Roseau,Senior,412,2018,27135
Roseau,Senior,381,2017,27135
Roseau,Senior,387,2016,27135
Roseau,Senior,377,2015,27135
Roseau,Senior,478,2014,27135
Roseau,Senior,351,2013,27135
Roseau,Senior,325,2012,27135
Roseau,Senior,420,2011,27135
Roseau,Individual,3164,2022,27135
Roseau,Individual,2639,2021,27135
Roseau,Individual,4258,2020,27135
Roseau,Individual,4875,2019,27135
Roseau,Individual,4852,2018,27135
Roseau,Individual,4988,2017,27135
Roseau,Individual,5666,2016,27135
Roseau,Individual,5850,2015,27135
Roseau,Individual,8513,2014,27135
Roseau,Individual,5832,2013,27135
Roseau,Individual,5342,2012,27135
Roseau,Individual,5603,2011,27135
Roseau,Household,976,2022,27135
Roseau,Household,830,2021,27135
Roseau,Household,1340,2020,27135
Roseau,Household,1568,2019,27135
Roseau,Household,1629,2018,27135
Roseau,Household,1593,2017,27135
Roseau,Household,1750,2016,27135
Roseau,Household,1825,2015,27135
Roseau,Household,2651,2014,27135
Roseau,Household,1831,2013,27135
Roseau,Household,1876,2012,27135
Roseau,Household,2140,2011,27135
Roseau,Pounds,83577,2022,27135
Roseau,Pounds,90010,2021,27135
Roseau,Pounds,100932,2020,27135
Roseau,Pounds,117160,2019,27135
Roseau,Pounds,94517,2018,27135
Roseau,Pounds,99534,2017,27135
Roseau,Pounds,98633,2016,27135
Roseau,Pounds,103771,2015,27135
Roseau,Pounds,217839,2014,27135
Roseau,Pounds,93682,2013,27135
Roseau,Pounds,93204,2012,27135
Roseau,Pounds,96114,2011,27135
